SrNo ,PMC_processing_plant_name_and_details_address_with_SrNo_Pno,Operating_agency,Plant_commissioning_date,Plant_Capacity_in_MTD,Actual_operating_capacity_in_MTD,Technology,water_polltion_control_system_details_with_capacity_and_disposal_details,Reject_quanity_MTD,Disposal_Details_with_qty,Auhtorization_granted_date_with_validity_and_copy,Consent_granted_date_with_validity_and_date,StartDate,EndDate,Any_application_submitted_if_any_UAN_No,Bank_Guarantee_details,Court_Case_details,NGT_case_details ,Environemnt_Compenstion_imposed,Environemnt_Compenstion_paid_recovery
1,"Noble Exchange Environment Solutions Pune LLP, Survey No. 48, Baner, Sus Road, Pune Tal. Haveli, Dist. Pune",Noble Exchange Environment Solutions Pune LLP,January 2016,300,120,Bio-Methanation,Soaked in soak pit,12,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000706
Granted Date: 03/08/2022
Valid up to: 31/07/2027","MPCB-CONSENT-0000132662
CTO Granted Date: 01/11/2022
Valid up to: 30/09/2023",01-11-2022,30-09-2023,"MPCB-CONSENT-0000178825
Consent To Renewal
App. Date: 11/08/2023
",,,,,
2,"M/s Noble Exchange Environment Solutions Pune LLP , Sr. No. 443, AmbiNigade Road,
Village-Ambi, Talegaon DabhadeTaluka-Maval,
DistPune-410507.",M/s Noble Exchange Environment Solutions Pune LLP,January 2016,"300 TPD
CBG-14TPD","120 TPD
CBG-5.6 TPD",Bio-Methanation,"ETP,600 CMD",12,SLF DevachiUruli,"First Authorisation Granted date 02/12/2015 &Valid till 31/12/2016
Second Authorisation- Granted date 30/09/2019& Valid till 31/12/2021
Third Authorisation applied on 26/10/2021 with No.",Consent application date 29/03/2022; Consent granted date 15/02/2023 and valid till 30/09/2023,,,"MPCB-MSW_AUTH-0000000707 dated 26/10/2021

MPCB-CONSENT-0000180776
Consent To Renewal
App. Date: 04/09/2023",,,,,
3,"M/s. NEPRA Resource Management Pvt Ltd.
Survey No.9 to 14, Near
MundhawaJackwell,
Keshavnagar, Mundhawa,
Pune",M/s. NEPRA Resource Management Pvt Ltd.,29/09/2021,100,100,MRF,Soak Pit available at the plant,3 MT,Recycling Material sales to Authorised Recycler & remaining RCF sent to Cement Factory,"Applied for Authorisation on Date:27/08/2022 with No.
MPCB-MSW-AUTH-0000000818","CTE Granted Date-28/02/223
With No.MPCB-CONSENT-0000147135",,,"Applied for CTO on Date-22/12/2022
With No.
MPCB-CONSENT-0000156867",,,,,
4,"Pune Municipal Corporation,
Survey No. 191 to 195, Fursungi, UruliDevachi, Dist. Pune","M/s Bhumi Green Energy,
MSW to RDF Composting Plant, S. No. 191 TO 195,
FursungiKachara Depot, UruliDevachi, Pune",13/07/2021,200,250,"pre-processing of dry waste, windrow composting and RDF",Soak Pit available,20,SLF DevachiUruli,"MSW_AUTH-00000000558 DTD. 08/07/2020

Valid upto 31/07/2025","CTO Granted Date:-1/06/2023 MPCB-CONSENT-0000156120

Validity: 31/03/2025",,,"MPCB-MSW_AUTH-0000000767
 19th May 2022",,,,,
5,"Katraj 50 MTPD Dry Waste Plant.Survey No.131 to 133 Near Katraj Dairy, Behind
Katraj Ramp and Fire Station,
Pune - 46",M/s.Excel Industries Ltd.,Yet to be Commissioned,50,50,MRF,"Buffer Zone maintained, fencing",5,"Tie up for sell of output generated with Scrap vendor ,local or big recycler etc Ex. m/s Aliza polymer,M/s Om traders,M/s JK Cement etc.","Applied for Authorisation on Date:20/01/2023 with No.
MPCB-MSW-AUTH-0000000861","Applied for Consent on Date 13/02/2023 with No. MPCB-CONSENT-0000162219
(Granted Consent in meeting of 07/06/2023)",,,,,,,,
6,"Pune Municipal Corporation, Katraj 50 MTPD HDS Wet Waste Plant.Survey No.131 to 133 Near Katraj Dairy, Behind
Katraj Ramp and Fire Station,
Pune – 46",M/s. Mithras Green Technologies,Yet to commissioned,50 MT/day,Yet to commissioned,Preprocessing unit for HDS,Soaked in Soak pit,5,SLF UruliDevachi,,"CTE only for Katraj MPCB-CONSENT-0000158599
27/04/23
Valid upto 5 years",,,"MPCB-MSW_AUTH-0000000761

04/04/2022",,,,,
7,"Pune Municipal Corporation, Peshve park Biogas Plant,
behind saras bagh, Pune",M/s. Mithras Green Technologies,Yet to commissioned,50MT/day,Yet to commissioned,Preprocessing unit for HDS,Soaked in Soak pit,5,SLF DevachiUruli,Renewal of authorization with change in activity,"CTE MPCB-CONSENT-0000158628

09/01/2023",,,"MPCB-MSW_AUTH-0000000760

30/03/2022",,,,,
8,"M/s. Sanskruti Management Services,
Sr.No.4 /2/2/1 Opposite to Digambarnagar gas Dahini,near Hindu Lingayat Dhafan Bhumi Wadgaon Sheri, Pune",M/s. Sanskruti Management Services,11/03/2019.,25,25,MRF,-,2.60%,"Tie up with local Vendors, Aditya Waste Paper,Nande Glass for Recyclables like Panni,PaperCardboard,Footwears,Bottels etc.","Applied for Authorisation on Date:04/01/2021 with No.MPCB-MSW-AUTH-0000000628
.",Applied for Consenton Date 25/11/2022 with No.MPCB-CONSENT-0000154185,,,,,,,,
9,"M/s.Aditya Waste Papers Suppliers Industries.
Sr.No-659, near upper bus
depo,Sukhsagarnagar,Kondwa Budruk,
yewlewadi Road ,pune.",M/s.Aditya Waste Papers Suppliers Industries.,01-04-2020,50,75,MRF,-,7.5,Tie up for Recyclables New Bombay Paper mills Pvt. ltd,"Applied for Authorisation on 02/09/2020
With No.
MPCB-MSW-AUTH0000000574","Applied for Capacity CTO for 75MT on 25/11/2022 with No.MPCB-CONSENT-0000154145
(Consent mail received 04/05/2023.",,,,,,,,
10,"Pune Municipal Corporation, S. No. 56, 57, Wadgaon Budruk, Pune Vadgaon Budruk",Bhumi Green Energy Pvt.Ltd.,12-3-2018,100,100,MRF (Refuse Derived Fuel ),,5-10 %,Sent to sanitary land fill,"Applied for Authorisation on 25/04/2018
With No.
MPCB-MSW-AUTH0000000301","Applied for Consent to operate on 09/11/2022 with No.MPCB-CONSENT-0000152567
(Consent mail received 12/05/2023
",,,Applied for Consent to operate but received mail for consent to establish .This discrepancy need to be resolved,,civil writ petition 6986/2012 in the high court of bombay,,"penal charges of Rs.88,972/- by Maharashtra Pollution Control Board ",
11,"M/s Bhumi Green Energy, 
Survey No. 100, Near Hadapsar Waste collection centre, Hadapsar Industrial Area, Hadapsar, Pune.",M/s Bhumi Green Energy,July 2017,200,200,Mechanical Composting,Fogging sysytem is available and working  at the plant also  leachate collection tank is available at the plant ,20,SLF Devachi Uruli,-,-,,,"MPCB-MSW_AUTH-0000000736
Auth Appl. Date: 28/12/2021

MPCB-CONSENT-0000156071
CTO Appl. Date: 14/12/2022",,,,,
12,"M/s. Pune Bio Energy Systems Pvt Ltd.
Sr.No.94/2, Plot No.88,
Ramtekadi, Hadapsar, Pune-411028",M/s. Pune Bio Energy Systems Pvt Ltd.,June 2018,750,200,Refused Derived Fuel,-,20,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000735
Granted Date: 11/08/2022
Valid up to: 31/12/2027",-,,,"MPCB-CONSENT-0000157311
CTE Appl. Date: 26/12/2022",,,,,
13,"Green Solutions,
Sr. No. 26, Near Yash Platinum,
Pari Company Chowk, Dhayari",Green Solutions,November 2020,50,50,Material Recover Facility,-,5,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000685
Granted Date: 09/02/2022
Valid up to: 31/12/2026",-,,,"MPCB-CONSENT-0000152809
CTO Appl. Date:11/11/2022
Received mail on 18/08/2023 valid upto 31-08-2025 after submission of penal fee and difference in consent fee.",,,,"difference in consent fee Rs.4,95,000/-and penal fees for not obtaining consent to stablish and operate Rs.6,57,000/- total fine Rs.11,52,000/- imposed by Maharashtra Pollution Control Board  ",
14,"Aadarsh Bharat Enviro Pvt Ltd,
S.NO.110, Ramtekadi",Aadarsh Bharat Enviro Pvt Ltd,October 2016,75,75,Material Recover Facility,-,7.5,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000640
Granted Date: 09/02/2022
Valid up to: 30/11/2026",-,,,"MPCB-CONSENT-0000156263
CTO Appl. Date: 15/12/2022",,,,,
15,"New Global Eco Solution,
Sr. No. 57, Kalepdal, Hadapsar",New Global Eco Solution,January 2017,25,25,Material Recover Facility,-,2.5,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000714
Granted Date: 11/08/2022
Valid up to: 31/07/2027",-,,,"MPCB-CONSENT-0000154609
CTO Appl. Date: 30/11/2022",,,,,
16,"M/s Sairam Engineering Pvt Ltd. 
Sr No. 3-14/2, Mundhwa, Keshavnagar, Pune, Tal. Haveli, Dist. Pune",M/s Sairam Engineering Pvt Ltd.,October 2019,50,50,Material Recover Facility,-3ee6,5,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000586
Granted Date: 28/06/2022
Valid up to: 31/05/2027","MPCB-CONSENT-0000099354
CTO Granted Date: 22/02/2023
Valid up to: 30/09/2025",,,-,,,,,
17,"ADECO Solutions ADSL LLP, 
100 TPD Mechanized Material Recovery Facility, S. No. 57 Hadapsar, Handewadi, Pune, Tal. Haveli, Dist. Pune",ADECO Solutions ADSL LLP,Yet to be Commissioned,100,-,Material Recover Facility,Soaked in soak pit,-,-,-,"MPCB-CONSENT-0000157489
CTE Granted Date: 24/05/2023
Valid up to 5 years",,,-,,,,,
18,"S.No.51, Ambegaon Kh.",-,Yet to be Commissioned,150,-,Mechanized Material Recover Facility,-,-,-,-,-,,,"MPCB-CONSENT-0000157364
CTO Appl. Date: 27/12/2022",,,,,
19,"Variate Waste to Energy Pvt Ltd., Final Plot No.87, Ramtekdi Industrial Estate, Hadapsar, Pune",Variate Waste to Energy Pvt Ltd.,Yet to be Commissioned,350,-,-,"For cooling and gardening purpose,
Soaked in soak pit",-,-,-,"MPCB-CONSENT-0000153844
CTE Granted Date: 26/12/2022
Valid up to 5 years",,,-,,,,,
20,"Procter & Gamble + Rochem Green Energy Pvt Ltd,
Plot No 86, Lane No 4, Ramtekdi Industrial Area",Procter & Gamble + Rochem Green Energy Pvt Ltd,Yet to be Commissioned,-,-,-ft,-,-,-,-,-,,,"MPCB-CONSENT-0000149987
CTE Appl. Date: 06/10/2022",,,,,
21,"S. No 129/2, Vill Wagholi, Tal Haveli Dist Pune
(C&D)",S A Infra,July 2017,250,220,,,,,,"MPCB-CONSTRUCTION_DEMOLITION-0000000091
CTO Granted Date:22/02/2023
Valid up to: 31/12/2026",,,,,,,,
22,"Bhumi Green Energy,
S. No. 191 To 195 Fursungi,
Uruli-Fursungi Kachra Depot
(Biomining)",Bhumi Green Energy,November 2022,2000,2000,9,,,SLF Devachi Uruli,,-,,,"MPCB-CONSENT-0000157504
CTO Appl. Date: 28/12/2022",,,,,
23,"M/s Aadarsh Bharat Enviro
S. No-191 To 195, Uruli Devachi Fursungi Kachra Depo
(SLF)",M/s Aadarsh Bharat Enviro,July 2021,400,350,Scientific Landfille,,-,-,,-,,,"MPCB-CONSENT-0000157594
CTO Appl. Date: 29/12/2022",,,,,
24,"Mailhem Engg.
S. No. 19A, Near KK Market, Satara Road",Mailhem Engg.,February 2019,5,5,Bio-Methanatione3,-,0.5,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000738
Granted Date: 11/08/2022
Valid up to: 31/12/2026",-,,,-,,,,,
25,"Mailhem Engg.
S. No. 95, Gut No. K-25/5, Phulenagar, Alandi Road, Pune",Mailhem Engg.,September 2018,5,5,Bio-Methanation,-,0.5,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000734
Granted Date: 11/08/2022
Valid up to: 31/12/2026",-,,,-,,,,,
26,"Mailhem Engg.
S. No. 22, Near Gokul Nagar, Dhanori, Pune - 411015",Mailhem Engg.,September 2018,5,5,Bio-Methanation,-,0.5,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000733
Granted Date: 11/08/2022
Valid up to: 31/12/2026",-,,,-,,,,,
27,"Abhay Bio-CNG,
S. No. 191 Maharashtra Housing Board, Yerawada, Pune",Abhay Bio-CNG,April 2022,5,5,Bio-Methanation,-,0.5,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000732
Granted Date: 11/08/2022
Valid up to: 31/12/2026",-,,,-,,,,,
28,"JK Engineers,
S. No. 50/5, Near SBI, 
Wadgaon Sheri, Pune",JK Engineers,September 2019,5,5,Bio-Methanation,-,0.5,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000731
Granted Date: 11/08/2022
Valid up to: 31/12/2026",-,,,-,,,,,
29,"JK Engineers,
Near Labour Colony, Yerawada Jail, Yerawada, Pune.",JK Engineers,October 2022,5,5,Bio-Methanation,-,0.5,SLF Devachi Uruli,-,-,,,"MPCB-MSW_AUTH-0000000846
Auth Appl. Date: 19/12/2022",,,,,
30,"Abhay Petro Pump,
Near Katraj Railway Museum,
Katraj, Pune - 411046",Abhay Petro Pump,August 2018,5,5,Bio-Methanation,-,0.5,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000729
Granted Date: 11/08/2022
Valid up to: 31/12/2026",-,,,-,,,,,
31,"Mailhem Engg.
Near Katraj Dairy, Behind Katraj Ramp and Fire Station, Pune – 46
(K-3 & K-4)",Mailhem Engg.,July 2021,10,10,Bio-Methanation,-,1,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000727
Granted Date: 11/08/2022
Valid up to: 31/12/2026",-,,,-,,,,,
32,"Adya Environmentals
S. No. 67 & 68, 
Taljai Pathar, Pune - 43",Adya Environmentals,October 2022,10,10,Bio-Methanationgs,-,1,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000726
Granted Date: 11/08/2022
Valid up to: 31/12/2026",-,,,-,,,,,